organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11101.html,CS 101,Algorithms and Programming I,"Basic computer literacy: terminology, system components and operation. Fundamentals of computer programming: top-down structured design, sequence, decision, repetition, syntax, compilation, debugging and maintenance, object-oriented programming with Java, objects classes, methods, parameters, arrays, layout and style. The emphasis is on an engineering ""right-first-time"" approach to solving large problems using computers. Credit units: 4 ECTS Credit units: 6.5. Autumn Semester (Uğur Doğrusöz, Özcan Öztürk) Spring Semester (Lori Rae Russell Dağ)",Uğur Doğrusöz,UĞUR DOĞRUSÖZ,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11102.html,CS 102,Algorithms and Programming II,"Enhanced Object-Oriented Programming with Java. Inheritance and polymorphism, abstract classes and interfaces, graphical-user-interfaces, exceptions. Abstract data structures: lists, stacks, queues and trees. Recursion. Files. Searching and sorting. Hashing. Time and space considerations. Students undertake a large design project involving teamwork, independent learning, writing and presenting of requirements, user-interface design, and project documentation. Credit units: 4 ECTS Credit units: 6.5, Prerequisite: CS 101 or CS 114. Autumn Semester (Uğur Güdükbay) Spring Semester (Aynur Dayanık, Uğur Güdükbay)",Uğur Güdükbay,UĞUR GÜDÜKBAY,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11115.html,CS 115,Introduction to Programming in Python,"Introduction to programming. Introduction to Python. Numerical programs. Functions, scoping, and abstraction. Global variables, modules, files. Structured types, mutability, and higher-order functions. Classes and object-oriented programming. Introduction to algorithmic complexity. Algorithms and data structures, searching, and sorting. Plotting. and data visualization. Credit units: 4 ECTS Credit units: 6.5. Autumn Semester (Lori Rae Russell Dağ, İpek Sözen) Spring Semester (Lori Rae Russell Dağ, İpek Sözen)",Lori Rae Russell Dağ,LORI RAE RUSSELL DAĞ,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11121.html,CS 121,Introduction to Computer Applications and Programming,"Fundamental office tools. Word processing, document formatting, paragraph formats, styles, hyphenation, spelling and grammar checking, outline, table of contents, indexes, citations, captions and bibliography. Introduction to spreadsheet concepts, formatting worksheets, managing worksheets; writing formulas and use of built-in functions and auditing; conditional formatting; common mistakes in writing formulas, circular reference, missing reference in formulas; charts. Introduction to programming and Python. Creating programs with an IDE. Programming basics - variables, data types and expressions. Python objects and built in methods. Conditional statements and iteration. Credit units: 3 ECTS Credit units: 5. Autumn Semester (Nur Sağlam, Ayışığı Başak Sevdik Çallı, Sibel Uğurlubilek, Rabia Üşenmez) Spring Semester (Nur Sağlam, Ayışığı Başak Sevdik Çallı, Sibel Uğurlubilek, Rabia Üşenmez)",Nur Sağlam,NUR SAĞLAM,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11125.html,CS 125,Introduction to Data Analysis for Social Sciences,"Introduction to programming and Python. Creating programs with IDLE, IPython and Jupyter notebooks. Programming basics - variables, data types and expressions. Python objects and built-in methods. Conditional statements and iteration. Data structures: tuples, lists and dictionaries. Analysis of data using a variety of open source tools, including importing, exploring, analyzing, and visualizing data. Modules such as numpy, pandas and matplotlib. Credit units: 3 ECTS Credit units: 5. Autumn Semester (Lori Rae Russell Dağ, Ayışığı Başak Sevdik Çallı, Rabia Üşenmez) Spring Semester (Ayışığı Başak Sevdik Çallı, Rabia Üşenmez)",Lori Rae Russell Dağ,LORI RAE RUSSELL DAĞ,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11153.html,CS 153,Introduction to Computer Graphics,"Basics of computer literacy. Basics of file systems, image formats and compression methods. Basics of raster and vector images and related software. Basic application of design principles to digital medium. Credit units: 3 ECTS Credit units: 5. Autumn Semester (Melih Aydınat, Egemen Kırkağaç)",Melih Aydınat,MELIH AYDINAT,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11154.html,CS 154,Introduction to Web Design,"Basics of web sites with digital text, image, video and links. Basics of Hyper Text Markup Language (HTML), Cascading Style Sheets (CSS) and JavaScript (JS). Basics of web browsers. Basics of web page design and interaction principles. Credit units: 3 ECTS Credit units: 5, Prerequisite: CS 153. Spring Semester (Melih Aydınat, Mustafa Dinç)",Melih Aydınat,MELIH AYDINAT,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11155.html,CS 155,Interactive Media Design and Development,"Practical and theoretical fundamentals of design and the implementation of interactive multimedia systems. Basic principles of human-computer interaction and interaction design, including gaming, live audio and video processing, motion detection, gesture recognition, tangible media, and interactive spaces. Credit units: 3 ECTS Credit units: 5, Prerequisite: CS 154 or GRA 131. Autumn Semester (Andreas Treske)",Andreas Treske,ANDREAS TRESKE,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11201.html,CS 201,Fundamental Structures of Computer Science I,"Introduction to abstract data types. Lists. Stacks. Queues. Implementing abstract data types in C++. Recursion as a problem solving method for data abstraction. Credit units: 3 ECTS Credit units: 5, Prerequisite: CS 102. Autumn Semester (Selim Aksoy, Aynur Dayanık) Spring Semester (Aynur Dayanık)",Selim Aksoy,SELIM AKSOY,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
Bilkent University,bilkent,https://catalog.bilkent.edu.tr/../course/c11202.html,CS 202,Fundamental Structures of Computer Science II,"Abstract data types. Algorithmic efficiency. Recursion. Sorting. Trees. Tables. Priority queues. Graphs. Credit units: 3 ECTS Credit units: 5, Prerequisite: CS 201 and (MATH 132 or MATH 210). Autumn Semester (Aynur Dayanık) Spring Semester (Can Alkan, Uğur Doğrusöz)",Aynur Dayanık,AYNUR DAYANIK,13026521743771720503,https://catalog.bilkent.edu.tr/dep/dc11.html
