organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe140,CmpE 140,Introduction to Computing for Economics and Management,"CMPE 140 introduces basic concepts of exploratory data analysis and programming using the R programming language and environment for statistical computing and graphics. Course topics include an introduction into basic data structures (vector, matrix, lists, data frames, etc.), program control statements (conditional execution, for and while loops, etc.), data visualization and input/output.",Murat Özyurt,MURAT ÖZYURT,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe150,CmpE 150,Introduction to Computing,The aim of the course is twofold:,Murat Özyurt,MURAT ÖZYURT,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe160,CmpE 160,Introduction to Object Oriented Programming,"Programming methodology: specification, design, coding, program correctness. Review of data types: scalar types, structured types. Data Structures: linear structures (stacks, queues, linear lists), nonlinear structures (trees, sets), files (sequential, random access). Implementation of data structures: linked list implementation, multidimensional array implementation, record implementation, character string, stack, queue, tree and set implementations. Recursion.",Tuna Tuğcu,TUNA TUĞCU,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe210,CmpE 210,Fundamentals of Object Oriented Programming,"Review of scalar and structured data types. Object oriented programming concepts: classes and abstract data types, inheritence, polymorphisms, operator overloading. Classical and object oriented program specification, design, coding and testing. Linear (stacks, queues, linear lists) and nonlinear data structures (trees, sets). Sequential and random access files. Implementation of data structures: Linked lists, multidimensional arrays, records, character strings, stacks, queues, trees and sets. Recursion.",Fikret Gürgen,FIKRET GÜRGEN,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe220,CmpE 220,Discrete Computational Structures,"Propositional logic and proofs. Set theory. Functions and relations. Algebraic structures. Groups and semi-groups. Graphs, lattices and Boolean algebra.",H. Birkan Yılmaz,BIRKAN YILMAZ,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe230,CmpE 230,Systems Programming,"Overview of compilers, interpreters, assemblers, linkers and loaders. Unix environment and system calls. Shell programming. Signals and exceptions. Localization and Unicode. PERL and CGI programming. Assembly language programming. Introduction to multithreading. Introductory Graphical User Interface (GUI) programming.",Can Özturan,CAN ÖZTURAN,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe240,CmpE 240,Digital Systems,"Number systems. Boolean algebra, logic networks and their simplification. Logic design with gates. MSI and LSI technologies. Combinatorial circuits and sequential circuits. Counters, shift registers, computer organization, arithmetic logic, memory and control units, mini and microcomputer systems. Laboratory experiments and applications of digital logic design.",Alper Şen,ALPER ŞEN,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe250,CmpE 250,Data Structures and Algorithms,Graphs. Advanced Sorting. Hashing. Heap Structures. Search Structures. Complexity. Parallel algorithms. File organization.,H. Birkan Yılmaz,BIRKAN YILMAZ,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe260,CmpE 260,Principles of Programming Languages,"This course is intended to introduce the student to the main paradigms of computation, languages representative of these paradigms, techniques of implementing various programming language constructs, as well as basic concepts relating to the specification of programming languages.Syntax and semantics of programming languages, basic constructs that are common to all languages (control structures, subprograms, etc.), and basic programming paradigms (functional, logic, etc.) will be covered. The intent of the course is not teaching a specific programming language; instead, using several languages to exemplify the main concepts and constructs.",Fatma Başak Aydemir,FATMA BAŞAK AYDEMIR,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe300,CmpE 300,Analysis of Algorithms,"Analysis of computer science algorithms: Sorting, searching, paging and parallelism. Analysis of mathematical algorithms: games and puzzles, network algorithms, and probabilistic algorithms.",Tunga Güngör,TUNGA GÜNGÖR,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
Bogazici University,boun,https://www.cmpe.boun.edu.tr/courses/cmpe321,CmpE 321,Introduction to Database Systems,"Logical organization of data: Entity-relationship modeling of data. Hierarchical, network and relational models. Data description and query languages. Normal forms and database design. Physical design and access strategies. Security, integrity and reliability. Design and implementation of a simple database management system that includes file security and a simple query language.",Arzucan Özgür,ARZUCAN ÖZGÜR,3386604019048112482,https://www.cmpe.boun.edu.tr/courses/undergraduate
