organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4052.html,CME 1203,BİLGİSAYAR MÜHENDİSLİĞİNE GİRİŞ,"Dersin Amacı Bu dersin amacı öğrencilere bilgisayar donanımı, bilgisayar aritmetiği, bilgisayar mimarisi, bilgisayarağları, işletim sistemleri, programlama kavramları ve betik dilleri hakkında temel bilgilerivermektir.",PROF.DR. YALÇIN ÇEBİ,YALÇIN ÇEBİ,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4073.html,CME 1205,AYRIK HESAPLAMALI YAPILAR,"Dersin Amacı Bu dersin amacı, ayrık veri yapılarını tanıtmak ve karşılaşılan problemlerdematematiksel bir perspektif dahilinde bu yapıların kullanılarak çözüme ulaşılmasınısağlamaktır.",TANZER ONURGİL,TANZER ONURGİL,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4095.html,CME 1211,ALGORİTMA VE PROGRAMLAMA I,"Dersin Amacı Bu dersin temel amacı, algoritma temel kavramlarını ve bileşenlerini bir programlama dili de kullanarak etkin bir şekilde öğretmektir.",DOÇ.DR. DERYA BİRANT,DERYA BİRANT,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4054.html,CME 1251,PROJE TABANLI ÖĞRENME I,"Dersin Amacı Bu dersin amacı, öğrencilerin, o dönemde aldıkları dersleri bütünleştirmeye yönelikprojeleri gerçekleştirmek üzere, takımlar halinde çalışarak, edindikleri teknikbilgileri uygulamalı olarak tasarım ve gerçekleştirme deneyimlerine dönüştürmelerinisağlamaktır.",TANZER ONURGİL,TANZER ONURGİL,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_10126_1210_2.html,KPD 1001,Kariyer Planlama,"Dersin Amacı Lisans programı öğrencilerinin kariyer bilincini geliştirmek, iş yaşamının beklenti ve dinamikleri konusunda farkındalık kazanmalarını sağlamak, kişisel ve profesyonel gelişimlerini destekleyerek istihdam edilebilirliklerini artırmak.",PROF.DR. PINAR SÜRAL ÖZER,PINAR SÜRAL ÖZER,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_20.html,MAT 1001,MATEMATİK I,"Dersin Amacı Math 1001-1002 serisi Kalkülüs ün kavram ve metodlarına standard tam bir giriştir. Bu seri bütün mühendislik öğrencileri tarafından alınır. Vurgu; kavramlar, problem çözümü, teori ve ispatlar üzerinedir. Öğrenciler Matematikte okuma, yazma ve sorgulama becerilerini geliştireceklerdir.",DOÇ.DR. MUSTAFA ÖZEL,MUSTAFA ÖZEL,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_12.html,PHY 1101,FİZİK I,"Dersin Amacı Bu dersin amacı, öğrencilere Newton mekaniği konusunda klasik fizik ilkelerine dayanan kuramsal giriş ve temel uygulamalara genel bakış sağlamaktır.",PROF.DR. MUHAMMED DENİZ,MUHAMMED DENİZ,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4087.html,CME 1206,TEKNİK İNGİLİZCE,"Dersin Amacı Bu dersin amacı, öğrencilerin bilgisayar mühendisliği konularında İngilizce teknik rapor yazabilecek ve sunum yapabilecek derecede imla kurallarını bilmelerini, etik, kelime haznesi ve terminolojiye sahip olabilmelerini sağlamaktır.",DOÇ.DR. MEHMET HİLAL ÖZCANHAN,MEHMET HİLAL ÖZCANHAN,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4074.html,CME 1212,ALGORİTMA VE PROGRAMLAMA II,Dersin Amacı Dersin temel amaçları programlama kavramını geliştirmek ve temel veri yapılarınıproblemleme dayalı bir yaklaşım ile öğretmektir.,PROF.DR. RECEP ALP KUT,RECEP ALP KUT,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4075.html,CME 1214,MANTIK TASARIMI,Dersin Amacı Bu dersin amacı temel sayısal elektronik konularını ve sayısal mantık devreleri ileilgili problemleri çözebilmesi için sayısal mantıkta kullanılan analitik tekniklerivermektir,ŞERİFE YILMAZ,ŞERİFE YILMAZ,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4056.html,CME 1252,PROJE TABANLI ÖĞRENME II,"Dersin Amacı Bu dersin amacı, öğrencilerin, o dönemde aldıkları dersleri bütünleştirmeye yönelikprojeleri gerçekleştirmek üzere, takımlar halinde çalışarak, edindikleri teknikbilgileri uygulamalı olarak tasarım ve gerçekleştirme deneyimlerine dönüştürmelerinisağlamaktır.",TANZER ONURGİL,TANZER ONURGİL,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_21.html,MAT 1002,MATEMATİK II,"Dersin Amacı Math 1001-1002 serisi Kalkülüs ün kavram ve metodlarına standard tam bir giriştir. Bu seri bütün mühendislik öğrencileri tarafından alınır. Vurgu; kavramlar, problem çözümü, teori ve ispatlar üzerinedir. Öğrenciler Matematikte okuma, yazma ve sorgulama becerilerini geliştireceklerdir.",DOÇ.DR. MUSTAFA ÖZEL,MUSTAFA ÖZEL,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_13.html,PHY 1102,FİZİK II,"Dersin Amacı Bu dersin ana amaçları, temel elektromanyetizma bilgisini kazandırmak, güçlü ve sistematik problem çözme yeteneklerini geliştirmek, fen bilimleri ve mühendislikteki ileri çalışmaları için taban oluşturmak.",PROF.DR. MUHAMMED DENİZ,MUHAMMED DENİZ,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4057.html,CME 2201,VERİ YAPILARI,Dersin Amacı Bu dersin amacı standart veri yapıları ve ilgili algoritmaları tanımlanabilmesi ve nesne tabanlı programlamanın öğrenilebilmesidir.,DOÇ.DR. ZERRİN IŞIK,ZERRİN IŞIK,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4059.html,CME 2203,DEVRELER VE ELEKTRONİĞE GİRİŞ,Dersin Amacı Bu dersin amacı devre analizi ve tasarımında kullanılan metodları sunmak ve elektronik devre elemanları ve elektronik devrlerin çözümüne giriş yapmaktır.,DR. ÖZLEM ÖZTÜRK,ÖZLEM ÖZTÜRK,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4058.html,CME 2205,OLASILIK VE İSTATİSTİK,"Dersin Amacı Bu dersin amacı, öğrencilerin olasılık ve istatistiğin temel kavramlarınıöğrenmelerini, veri setlerini grafiksel ve sayısal yöntemler ile tanımlayabilmelerini,kesikli ve sürekli rassal değişkenler için olasılık dağılımlarını oluşturabilmelerini,örnekleme dağılımı, merkezi limit teoremi kavramlarını öğrenerek kitle parametreleriiçin güven aralıkları oluşturmalarını ve hipotez testi yapabilmelerini sağlamaktır.",DOÇ.DR. İDİL YAVUZ,İDİL YAVUZ,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4055.html,CME 2207,DİFERANSİYEL DENKLEMLER VE LİNEER CEBİR,"Dersin Amacı Bu dersin amacı, doğrusal cebir ve diferansiyel denklemlerin temel kavramları, çözüm metodolojileri ve teknik uygulamaları hakkında matematiksel bir arka plan oluşturmaktır.",DOÇ.DR. BURCU SİLİNDİR YANTIR,BURCU SİLİNDİR YANTIR,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_2.html,TDL 1001,Türk Dili I,"Dersin Amacı Türk Dili dersinin amacı, Türkçenin yapı ve işleyiş özelliklerini kavratabilme; yazılı ve sözlü ifade vasıtası olarak, dilini doğru ve güzel kullanma yeteneğini kazandırabilmektir.",GÜLECE BİLEN,GÜLECE BİLEN,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_8.html,BDE 1003,Beden Eğitimi,"Dersin Amacı Öğrencilerin; gelişim özellikleri göz önünde tutularak, onların fiziksel yönden sağlıklı ve güçlü olması, beden eğitimi spor yapma alışkanlığı kazandırılması, voleybol/futbol/masa tenisi branşlarını oynayabilecek düzeye getirilmesi ve bu spor branşları hakkında bilgi sahibi olmaları genel amaçtır.",SEDAT YAPUCUOĞLU,SEDAT YAPUCUOĞLU,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_171.html,ESE 2067,İŞLETME YÖNETİMİ VE YÖNETİCİLİĞİ,"Dersin Amacı Çağdaş yönetim bilimi ve tekniklerini, çalışma hayatındaki uygulamalarını ve metodolojilerini öğrencilere sunmak ve onları iş hayatına hazırlamaktır. Kurumsal yapılanma ile değişen ve gelişen modern yaklaşımlara uyum sağlamak ve onları etkin bir şekilde işletmelere uygulanmasını sağlamak için gerekli bilgi ve donanımları vermektir.",ÖĞR.GÖR. ŞEVKET YILMAZÇETİN,ŞEVKET YILMAZÇETİN,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
Dokuz Eylul University,deu,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_175.html,ESE 2069,KİŞİSEL STİL VE İMAJ YÖNETİMİ,"Dersin Amacı İmaj sadece nasıl göründüğümüz değil, kurumsal ve bireysel olarak bir iletişim aracıdır. İmajın gücü görünümle başlar davranışla, sözsüz iletişimle; beden diliyle,renklerle, sözlü iletişimle; konuşma ve yazıyla hatta e-mail kültürü ve internette,sosyal medyada nasıl yer aldığı ile devam eder. Hhepimizin bir imajı vardır, önemliolan bu imajı etkin bir şekilde yönetebilmektir. İmajı yönetiminde esas olan bireyin kendini, kişiliğini tanımasıdır. Kişilik bireyin, kendisine özgü psikolojik ve bedenselözelliklerinin bütünüdür. Kişiliği bilmek neyi yapıp neyi yapamayacağımızı, zaaflarımızı ve zayıflıklarımızı, güçlü yönlerimizi, öncelikli değerlerimizi bilmekanlamına gelmektedir. Profesyonel iş yaşamımızda imajımızın farkında olmak, onu etkin bir şekilde yönetmek, iş hayatındaki itibar ve algımızı olumlu yönde inşa etmemizisağlar. Kariyer basamaklarını daha güvenli, sağlam ve tkin bir biçimde çıkmamızı destekler. İnsanlar birbirleriyle ilk karşılaştıklarında %90'ı ilk birkaç dakika içindedaha çok görünüşe dayanan bir yargıya varır. Bu bağlamda kıyafetlerin tarzı, rengi, kullanılan aksesuar kişisel imajın birer işaretidir ve uygun şekilde güyünmek olumlubir imaj yaratma yolunda atılması gereken ilk adımlardan biridir.Kişinin kendini doğru, etkileyici ifade etmesidir. Gençlerin, iş yaşamında ilk izlenimi olumlu kılmak,hedefleri gerçekleştirmek için imajın gücünü anlamaları iş yaşamına yeni atılacak bireylerin bu konuda bilincinin arttırılması önemli kazanımdır.",DOÇ.DR. GÜLSEREN KARABAY,GÜLSEREN KARABAY,1216950024195647715,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/bolum_1210_tr.html
