organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121953/635810/1,501001012006,TÜRK DİLİ I,"Bu dersin genel amacı; bireylere dinlediklerini ve okuduklarını incelik ve derinlikleriyle kavratmak; Türk dilinin zengin, köklü ve üretken bir dil olduğunu göstermek; dil sevgisi ve bilinci uyandırmak; okuma zevki ve alışkanlığı kazandırmak; Türk toplumunun temel değerlerini benimsetmek; kısaca bireylerin düşünme ve iletişim becerilerini geliştirmektir.",Öğr. Gör. Dr. Fatma Tekin,FATMA TEKIN,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121955/635256/1,501001022006,ATATÜRK İLKELERİ VE İNKILAP TARİHİ I,"Bu dersin genel amacı; Öğrencilerini Atatürk ilke ve inkılapları doğrultusunda Atatürk milliyetçiliğine bağlı; Türk Milletinin milli, ahlaki, manevi ve kültürel değerlerini benimsemiş, evrensel ve çağdaş gelişmelere açık nesiller yetiştirmektedir.",Öğr.Gör. Belkız AYAZ ÇOBAN,BELKIZ AYAZ ÇOBAN,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121955/635256/1,501001022006,ATATÜRK İLKELERİ VE İNKILAP TARİHİ I,"Bu dersin genel amacı; Öğrencilerini Atatürk ilke ve inkılapları doğrultusunda Atatürk milliyetçiliğine bağlı; Türk Milletinin milli, ahlaki, manevi ve kültürel değerlerini benimsemiş, evrensel ve çağdaş gelişmelere açık nesiller yetiştirmektedir.",Öğr.Gör. İbrahim ÇOBAN,İBRAHIM ÇOBAN,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121959/633004/1,501001042010,MATEMATİK-I,Bu dersin amacı öğrencilerin temel matematiksel kavramları matematiksel hiyerarşi ve bütünlük içerisinde anlamasını sağlamak ve diğer matematik tabanlı dersler için matematiksel alt yapıya sahip olmalarını sağlamaktır.,Assoc. Prof. Dr. Vecdi AYTAÇ,VECDI AYTAÇ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121962/635616/1,501001052007,FİZİK-I,"Bu dersin sonunda öğrenciler bir fiziksel olayı nasıl ele alabileceklerini, bu olay ile ilgili problemlerin çözümü için nasıl bir yöntem izleneceğini, gerekli matemetiksel bağıntıları kullanarak problemlerin çözümünü öğreneceklerdir.",Prof. Dr.Cüneyt ÇELİKTAŞ,CÜNEYT ÇELİKTAŞ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121962/635616/1,501001052007,FİZİK-I,"Bu dersin sonunda öğrenciler bir fiziksel olayı nasıl ele alabileceklerini, bu olay ile ilgili problemlerin çözümü için nasıl bir yöntem izleneceğini, gerekli matemetiksel bağıntıları kullanarak problemlerin çözümünü öğreneceklerdir.",Assoc. Prof. Dr. Mine ÇAPAR,MINE ÇAPAR,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121965/632540/1,501001071994,ALGORİTMA VE PROGRAMLAMA-I,"Bu dersin amacı, öğrencilerin temel algoritma ve problem çözme yapıları hakkında bilgi sahibi olmasını ve bir problemle karşılaştıklarında bu temel yapıları kullanarak algoritmalar tasarlayabilme ve bu algoritmaları Python programlama dili ile gerçekleştirebilme yeteneğini kazanmasını sağlamaktır.",Dr. Öğr. Üyesi Özgür Gümüş,ÖZGÜR GÜMÜŞ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121967/634963/1,501001082007,TECHNICAL ENGLISH,"Öğrencilerin mesleki alandaki sözcük dağarcıklarını zenginleştirerek bilişim ile ilgili terimleri ve tanımları tanıtmak, teknik metinlerin anlaşılmasını kolaylaştırmak ve bir konuyu kendi sözcükleriyle ifade etmelerini sağlamak.",Dr. Öğretim Görevlisi Sevtap Duman Kaymaz,SEVTAP DUMAN KAYMAZ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/231680/675267/1,501001192011,ÜNİVERSİTE YAŞAMINA GEÇİŞ,"Dersin amacı, Üniversiteye Yeni Gelen Öğrencilerin Üniversite Düzenine ve Yaşamına Uyum Sağlamaları için gerekli olan bilgileri sağlamaktır",Dr Öğr. Üyesi Ahmet Egesoy,AHMET EGESOY,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/241588/679913/1,501001212012,SÖZLÜ VE YAZILI İLETİŞİM,"Öğrencilerin etkinliklerinin tamamlayıcı bir parçası olan iletişimin sağlıklı anlaşılmasını sağlıyarak bilgi, düşünce, duygu ve davranışlarının bölüştürülmesi ve aktarılmasına yönelik çabaları arttırmak. Öğrencilerin iletişim becerilerini geliştirmek. Bu bağlamda, sözlü/sözsüz ve yazılı iletişim kapsamında açık, anlaşılır ve ikna edici bir biçimde anlatma becerisi ile dikkatli ve empatili dinleme becerisi kazanmalarını sağlamak.",Dr. Öğretim Görevlisi Sevtap Duman Kaymaz,SEVTAP DUMAN KAYMAZ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/284538/768024/1,501001232020,KARİYER PLANLAMA,Öğrencilerin kariyer planlamalarını yapabilmeleri için farkındalıklarını arttırmak. Kariyer süreçlerini yönetebilmek için gerekli yöntemleri tanıtmak.,Dr. Öğretim Üyesi Emine SEZER,EMINE SEZER,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121970/638048/1,501001092010,MATEMATİK-II,Bu dersin amacı öğrencilerin temel matematiksel kavramları matematiksel hiyerarşi ve bütünlük içerisinde anlamasını sağlamak ve diğer matematik tabanlı dersler için matematiksel alt yapıya sahip olmalarını sağlamaktır.,Assoc. Prof. Dr. Vecdi AYTAÇ,VECDI AYTAÇ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121973/635999/1,501001102007,FİZİK-II,"Bu dersin sonunda öğrenciler bir fiziksel olayı nasıl ele alabileceklerini, bu olay ile ilgili problemlerin çözümü için nasıl bir yöntem izleneceğini, gerekli matemetiksel bağıntıları kullanarak problemlerin çözümünü öğreneceklerdir.",Prof. Dr. Cüneyt ÇELİKTAŞ,CÜNEYT ÇELİKTAŞ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121973/635999/1,501001102007,FİZİK-II,"Bu dersin sonunda öğrenciler bir fiziksel olayı nasıl ele alabileceklerini, bu olay ile ilgili problemlerin çözümü için nasıl bir yöntem izleneceğini, gerekli matemetiksel bağıntıları kullanarak problemlerin çözümünü öğreneceklerdir.",Doç. Dr. Mine ÇAPAR,MINE ÇAPAR,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121975/638029/1,501001112010,AYRIK YAPILAR,"Bu dersin amacı öğrencilerin bilgisayarların temel matematiksel yapısını anlamasını, matematik ve ayrık matematiğin ortak konularında çalışabilmelerini sağlamaktır.",Prof. Dr. Vecdi AYTAÇ,VECDI AYTAÇ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121978/630726/1,501001121998,ALGORİTMA VE PROGRAMLAMA-II,"Bu dersin amacı, öğrencilerin nesneye dayalı programlamanın temel kavramları ile doğrusal veri yapıları hakkında bilgi sahibi olmasını sağlamaktır. Bu bağlamda, problemleri nesneye dayalı programlama yaklaşımı kullanarak çözebilme ve gerektiğinde doğrusal veri yapılarını problemlerin çözümünde kullanabilme yeteneklerinin kazandırılmasını sağlamak hedeflenmektedir.",Doç.Dr.Rıza Cenk ERDUR,RIZA CENK ERDUR,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121987/634417/1,501001162010,INTRODUCTION TO COMPUTER SCIENCE,"Bu dersin amacı, orta öğretimden farklı düzeylerde bilgisayar bilgisi ile gelen öğrencilerin bilgisayar bilimleri ile ilgili temel kavramları doğru olarak kavrayabilmesini, temel bilgi düzeyinde tüm sınıfın eş konuma gelebilmesini ve öğrencilerin izleyen üç yıl boyunca görecekleri temel dersleri giriş niteliğinde tanıyarak aralarındaki bağlantıları kurabilmelerini sağlamaktır.",Doç.Dr. Özgü CAN,ÖZGÜ CAN,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
Ege University,ege,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121993/630714/1,501002021996,DİFERANSİYEL DENKLEMLER,"Bu dersin amacı mühendislik eğitiminde çok sık karşılaşılan diferansiyel denklemlerin sadece teorik olarak değil aynı zamanda uygulamalı olarak öğrenilmesi, öğrencilerin denklem kurma ve denklemi uygun bir yöntemle çözebilme becerisine sahip olmalarını sağlamaktır.",Assoc. Prof. Dr. Vecdi AYTAÇ,VECDI AYTAÇ,2132109780519676157,https://ebp.ege.edu.tr/DereceProgramlari/Detay/1/31/2626/932001
