organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/ENG+101,ENG 101,İngilizcede Akademik Beceriler I,"ENG 101 dersi birinci sınıf öğrencileri için zorunlu bir derstir. Okuma, dinleme, yazma ve konuşma gibi zihinsel becerileri geliştirmeye yöneliktir. Bu derste öğrencilerin güncel metinler okuyarak ve dinleyerek, metnin bölümlerini anlama, hızlı ve etkili okuma, farklı metinlerdeki fikirler arası bağlantı kurma becerilerini kullanmaları ve metinleri bir öğrenme çıktısı oluşturacak şekilde etkili bir kaynak olarak kullanmayı öğrenmeleri hedeflenmiştir. Konuşma ve yazma becerilerinde ise kaynak kullanma, bir ifadeyi başka sözcükler kullanarak anlatabilme, alıntı yapabilme, özet yapabilme ve sentez yapabilme yer almaktadır. Bu dersi alan öğrenciler bir konudaki fikirlerini destekleyerek, anlam bütünlüğü olan, öz, bilgi verici ya da ikna edici metinler yazmayı öğreneceklerdir.",Öğr. Gör. Anıl UÇAK,ANIL UÇAK,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/FENG+101,FENG 101,Mühendislik Kültürünün Temelleri,"Dersin amacı, öğrencileri mühendislik kültürünün temellerini; mühendislik uygulamalarında karşılaşılan etik sorunları; mühendislik uygulamalarının çevresel, sosyal ve ekonomik sürdürülebilirliğini; sağlık ve güvenlik üzerindeki etkilerini; girişimci mühendisliğin esaslarını, yaşam boyu öğrenmenin önemini ve bilgiye ulaşma yöntemlerinin temellerini kavrayabilecek seviyeye getirmektir.",Doç. Dr. Fehmi Görkem Üçtuğ,FEHMI GÖRKEM ÜÇTUĞ,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/IUE+100,IUE 100,Oryantasyon ve Kariyer Planlama,"Bu ders, öğrencileri üniversite eğitimine ve kampüs yaşamına hazırlamak, üniversite eğitimleri boyunca ihtiyaç duyacakları akademik, sosyal ve kişisel becerileri geliştirmelerini sağlamak ve öğrencileri profesyonel kariyerlerine hazırlamak için yönlendirmeyi amaçlamaktadır.",Dr. Öğr. Üyesi Esin ÇAĞLAYAN,ESIN ÇAĞLAYAN,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/MATH+153,MATH 153,Genel Matematik I,Bu dersin amacı mühendisler için calculus dersinin temellerini oluşturmak ve uygulamaktır.,Dr. Öğr. Üyesi Demet ERSOY ÖZDEK,DEMET ERSOY ÖZDEK,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/SE+115,SE 115,Programlamaya Giriş I,"Bu ders yapısal programlamanın temel elemanlarını öğrencilere tanıtacaktır. Kod uygulamalarında Java programlama dili kullanılacaktır. Konular içinde tip kavramı, temel tipler, deyimler, standart fonksiyonlar, giriş/çıkış ifadeleri, kontrol yapıları, seçim ifadeleri, yineleme ifadeleri, fonksiyonlar, programlamada birimsellik, genel ve yerel değişkenler, dinamik değişkenler ve diziler bulunmaktadır.",Doç. Dr. Kaya OĞUZ,KAYA OĞUZ,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/ENG+102,ENG 102,İngilizcede Akademik Beceriler II,Bu derste öğrencilerin akademik becerilerini İngilizce dilinde gerçekleştirebilmeleri hedeflenmiştir.,Öğr. Gör. Anıl UÇAK,ANIL UÇAK,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/FENG+102,FENG 102,Mühendisliğe Giriş,"Bu dersin amacı, çeşitli sistem ve cihazların mühendislik yönlerini incelemektir. Öğrenci, mühendisliğin temel alanlarına ve mühendislik, bilim, matematik ve toplum arasındaki ilişkilere maruz kalacaktır. Öğrenciler, seçtikleri mühendislik alanında başarılı olmalarına yardımcı olacak bir dizi beceri geliştireceklerdir.",Doç. Dr. Fehmi Görkem Üçtuğ,FEHMI GÖRKEM ÜÇTUĞ,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/MATH+154,MATH 154,Genel Matematik II,"Bu dersin amacı tek değişkenli fonksiyonların integrallerini ve uygulamalarını tanıtmak, çok değişkenli fonksiyonları tanımlamak, bu fonksiyonların kısmi türevlerini ve çok katlı integrallerini hesaplamaktır.",Dr. Öğr. Üyesi Demet ERSOY ÖZDEK,DEMET ERSOY ÖZDEK,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/PHYS+102,PHYS 102,Genel Fizik II,Bu dersin temel amacı elektromanyetik teorinin en temel konularını uygulamaları ile birlikte öğrencilere aktarmaktır.,Araş. Gör. Gözde TEKTAŞ,GÖZDE TEKTAŞ,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/SE+116,SE 116,Programlamaya Giriş II,"Bu ders, öğrencilere, Java programlama dilini kullanarak nesne yönelimli programlamanın genel prensiplerini vermeyi amaçlar. Bu derste öğrenciler, sınıfları, nesneleri, veri üyelerini, metotları, kalıtımı ve çok biçimliliği içeren nesne yönelimli programlamanın ana kavramlarını öğrenecektir. Ders içeriğinde, soyut sınıfların kullanımıyla kalıtımın ve çok biçimliliğin uygulanması gibi nesne yönelimli programlama teknikleri de işlenecektir.",Dr. Öğr. Üyesi İlker KORKMAZ,İLKER KORKMAZ,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/CE+215,CE 215,Bilgisayar Bilimleri için Ayrık Matematik,"Bu ders, ispat tekniklerini açıklamak, hesaplama teorisine ve olasılık teorisinin temel kavramlarına giriş yapmak için, bilgisayar bilimlerinin en çok kullanılan yapılarına sağlam temeller atar.",Profesör Dr. Cem EVRENDİLEK,CEM EVRENDİLEK,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/CE+221,CE 221,Veri Yapıları ve Algoritmalar I,"Bu dersin amacı, öğrencilere, bilgisayar algoritmalarının tasarım ve analizinin temelini oluşturan Soyut Veri Yapıları (SVY) kavramını öğretmektir. Bu ders temel SVY’leri ele alarak bu yapıların pratikte gerçeklenmesini sağlayan bazı veri yapıları ve algoritmaları sunar. Derste, algoritmaların çalışma zamanları asimptotik olarak analiz edilerek, algoritma verimliliği vurgulanır. Uygulamalar ve programlama için SE 115 ve/veya SE 116 derslerinde öğretilen programlama dillerinden biri kullanılır.",Prof. Dr. Cem EVRENDİLEK,CEM EVRENDİLEK,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/EEE+215,EEE 215,Bilgisayar Mühendisleri için Elektrik Devrelerine ve Elektroniğe Giriş,Bu ders öğrencilere elektrik devrelerinin temel ilkelerini ve devre analiz tekniklerini öğretmeyi amaçlar.,Prof. Dr. Yusuf Murat ERTEN,YUSUF MURAT ERTEN,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
Izmir Ekonomi University,ieu,https://ce.ieu.edu.tr/tr/syllabus/type/read/id/MATH+240,MATH 240,Mühendisler için Olasılık,Bu dersin amacı öğrencilere olasılık ve rassal süreçlerin temel ve bazı ileri kavramlarını tanıtmaktır,Doç. Dr. Cemal Murat ÖZKUT,CEMAL MURAT ÖZKUT,17984104486527568922,https://ce.ieu.edu.tr/tr/curr
