organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-111/,CENG 111,Bilgisayar Mühendisliği Kavramları,"Bölüm hakkında ve genel olarak Bilgisayar Mühendisliği ile ilgili bilgi vermeyi ve tanıtmayı amaçlayan bir oryantasyon eğitimi. Fakültenin tanıtımı ve çeşitli aktiviteler hakkında bilgi verilmesi. Üniversite içindeki ve diğer çevre kuruluş ve firmalardaki bilgisayar merkezlerinin gezilerek incelenmesi. Temel bilgisayar terimleri: terminoloji, sistem bileşenleri and işleyişi.Internet, Internet Servis Yazılımları, www, e-mail, Windows-Unix-Dos İşletim Sistemleri, Java ile kodlama, Masaüstü Yazılımları.",Berat Alper Erol,BERAT ALPER EROL,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-112/,CENG 112,Veri Yapıları,"Veri, veri yapıları ve veri tiplerinin temel kavramları: dizinler, katarlar, doğrusal yapılar, sıralı arama ve sıralama teknikleri, yığınlar, kuyruklar, imleçler, bağlaçlı listeler. M-way arama teknikleri and B-tree’ler.",Cüneyt F. Bazlamaçcı,Cüneyt F. Bazlamaçcı,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-113/,CENG 113,Programlamaya Giriş,"Bilgisayar programlamanın temelleri: sıra, seçim, tekrar, imla, derleme, test etme ve düzeltme, prosedürler, parametreler, dizinler, nesne, yukarıdan aşağı yapılanmış tasarım, açılım ve stil. Bilgisayarların kullanılmasıyla büyük çaplı problemlerin çözümüne ilk adım. Algoritmalar ve bunlarla ilgili çeşitli terminolojilerin temelleri.",Buket Erşahin,BUKET ERŞAHIN,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-115/,CENG 115,Ayrık Yapılar,"Kümeler ve Fonksiyonlar, Temeller: Algoritmalar, Tam Sayılar, Matrisler, İspat Metotları, Matematiksel Tümevarım, Rekursif Tanımlamalar, ve Algoritmalar, Program Doğruluğu, Saymanın Temelleri, Güvercin Yuvası Prensibi, Permütasyonlar ve Kombinasyonlar, Rekürans Bağıntısı, Böl-Yönet / İçer-Dışla Bağıntıları, n-li Bağıntılar, Bağıntı Gösterimleri ve Kapanımları, Denklik Bağıntısı, Kısmi Düzenleme, Çizge Terminolojisi, Çizge Gösterimi ve Çizgede Eşbiçim, Bağlantı, Euler ve Hamiltonian Yollar, En Kısa Yol Problemleri, Düzlem Çizge ve Çizge Boyama, Ağaç Gezme, Ağaç Yapıları ve Sıralama, Spanning Ağaçlar, Minimum Spanning Ağaçlar, Boolean Fonksiyonlar ve Gösterimleri, Minimizasyon, Hesaplama Elementleri, Karmaşa Sınıfları, P-NP-NP Tam Karmaşa Sınıfları, Uzay Karmaşası, Sayı Dönüşümü, Hesapsal Mantık, Maksimum ve Minimum, Kodlama ve İnşa.",Cüneyt F. Bazlamaçcı,Cüneyt F. Bazlamaçcı,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-211/,CENG 211,Programlamanın Temelleri,"Nesne temelli programlama yaklaşımı, metotlar, sınıflar, karmaşıklığı gizleme ve kalıtım; temel algoritmalar, sıralama ve arama, kullanıcı tanımlı sınıflar, kendini çağırma kavramı ile faydaları ve getirdiği problemler, istisna yönetimi, uygulama program arayüzleri kullanımı basit grafik programlama, yazılım tasarım kavramı.",Tuğkan Tuğlular,TUĞKAN TUĞLULAR,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-212/,CENG 212,Programlama Dilleri Kavramı,"Programlama dillerinde imla, mantıksal ve içeriksel yöntemler. Veri saklanması ve kontrolü. Tanımlayıcıların ilintilendirilmesi. Prosedürel tanımlama ve özetleme. Tanımlar, sıralamalar ve eşzamanlı süreçler. Tipler. Formal semantikler. Günümüzde kullanılan programlama dillerinin belli başlı özellikleri.",Damla Oğuz,DAMLA OĞUZ,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-213/,CENG 213,İşlem Teorisi,"Soyut automata, ağırlık olarak sonlu durum makineleri; push-down automata; ve Turing makineleri. Formal diller, özellikle içerik-bağımsız diller. Automata ve diller arasındaki ilişkiler. Hesaplanabilirlik ve çözülebilirlik.",Selma Tekir,SELMA TEKIR,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-214/,CENG 214,Mantık Tasarımı,"Bilgisayar mimarisine giriş. Sayı sistemleri. Bool Cebiri. Mantık kapıları ve flip-floplar. Kombinasyonel ve sıralı devre tasarımı. Dizgeler, sayaçlar. Bus Transferi. RAM, ROM üniteleri. Komut işletimi ve devresel kontrol.",Burak Galip Aslan,BURAK GALIP ASLAN,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-215/,CENG 215,Circuits and Electronics,"Elektrik devrelerinin temelleri ve genel kavramlar (voltaj, akım, güç vb.), temel bileşenler (direnç, bobin, kapasitör, transistör, OPAMP vb.), temel kanunlar (Ohm, Kirchhoff vb.) ve devre analiz yöntemleri. Frekans tepkisi, geçiş analizi, Laplace çevrimi, Fourier serileri. Elektronik ekipmanlara giriş, diyot, transistörler, MOS teknolojisi, mantık aileleri.",Tolga Ayav,TOLGA AYAV,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
Izmir Yuksek Teknoloji University,iyte,https://ceng.iyte.edu.tr/tr/courses/ceng-216/,CENG 216,Sayısal Hesaplama,"Matris çevrimiyle ilgili sayısal teknikleri içeren uygulamalar ve araştırmalar, lineer denklem sistemleri ve optimizasyon, sonlu fark ifadeleri, interpolasyon ve yaklaşık değer bulma, sayısal diferansiyel ve integrasyon. Bu yöntemlere ilişkin algoritmalar yardımıyla hız, verimlilik ve uygulanabilirliklerinin incelenmesi. Çeşitli nümerik metodların ve kuralların, bilgisayarlardaki programlama dillerinde ve etkin programlama tekniklerinden de yararlanılarak uygulamalarının yapılması.",Mustafa Özuysal,MUSTAFA ÖZUYSAL,3469451614477890030,https://ceng.iyte.edu.tr/tr/egitim/lisans-programi/lisans-dersleri/
