organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Yasar University,yasar,https://ce.yasar.edu.tr/comp-1123-veri-yapilari-i/,COMP 1123,Veri Yapıları I,"Bu ders, temel veri yapılarını tanıtmayı amaçlar. Dönem boyunca tanıtılan algoritmalar uygulanır.",Dr. Mutlu Beyazıt,MUTLU BEYAZIT,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-2215-nesne-yonelimli-paradigmalar/,COMP 2215,Nesne Yönelimli Paradigmalar,"Bu ders nesne yönelimli programlama, tasarlama, analiz, veri yapıları gibi kavramları Java dilinde aktaracaktır.",Dr. Sermet Mir,SERMET MIR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-3315-bilgisayar-organizasyonu/,COMP 3315,Bilgisayar Organizasyonu,"Yazmaç aktarımı, veriyolu, kontrol, komut kümesi mimarisi, birleştirici dili, bilgisayar aritmetiği, tek döngülü işlemci, çok döngülü işlemci, boru hatlı işlemci, girdi/çıktı, bellek düzeni, paralel işleme.",Dr. Mutlu Beyazıt,MUTLU BEYAZIT,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-3317-bilgisayar-aglari/,COMP 3317,Bilgisayar Ağları,"Ağ katmanları ve mimarileri, referans modelleri, fiziksel katman ve veri iletişim konuları, veri bağı katmanı konuları,",Dr. Mehmet Ufuk Çağlayan,MEHMET UFUK ÇAĞLAYAN,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-3323-isletim-sistemleri/,COMP 3323,İşletim Sistemleri,"Çoklu programlama ve zaman paylaştırma kavramları. Kullanıcı ve program arayüzleri. Eşzamanlı işlemler, CPU zamanlaması, süreçler arasında iletişim. Ölümcül kilitlenme. Bellek yönetimi, sayfalandırma, bölümlendirme, sanal bellek, sayfa yenileme algoritmaları. Dosya sistemi yapıları, yer tahsis yöntemleri, rehberler. Girdi/Çıktı arayüzleri, ikincil depolama yapıları.",Dr. Ahmet Koltuksuz,AHMET KOLTUKSUZ,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-3328-gomulu-sistemler/,COMP 3328,Gömülü Sistemler,"Instruction setleri, mikroişlemciler, gömülü cihazlarda kod çalıştırma, işlemci yapısı, kesmeler, I/O cihazları ve akıllı telefonlar, tabletler, IoT sistemleri, oyun cihazları, tıbbi cihazlar, robotlar, 3-D yazıcılar, automotive uygulamaları ve endüstriyel cihazlar gibi uygulamalar.",Dr. Hüseyin Hışıl,HÜSEYIN HIŞIL,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/comp-3330-otomatlar-kurami/,COMP 3330,Otomatlar Kuramı,"Sonlu devinirler, düzenli deyimler, düzenli diller, aşağı sürklemeli devinirler, bağlam bağımsız gramerler, bağlam bağımsız diller, Turing makineleri, özyinelemeli diller, özyinelemeli sayılabilir diller, Chomsky hiyerarşisi, karar verilebilirlik.",Dr. Mutlu Beyazıt,MUTLU BEYAZIT,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/econ-3300-muhendislik-ekonomisine-giris/,ECON 3300,Mühendislik Ekonomisine Giriş,"Mühendislik ekonomisinin temel prensipleri, paranın zamana göre değer kavramı, faizler ve ekonomik denklikler, potansiyel fırsatlarının bugünkü değer, eşit yıllık değer, getiri oranı analizi gibi yöntemlerle değerlendirilmesi gibi konular araştırılır.",Dr. Umut Avcı,UMUT AVCI,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/econ-3300-muhendislik-ekonomisine-giris/,ECON 3300,Mühendislik Ekonomisine Giriş,"Mühendislik ekonomisinin temel prensipleri, paranın zamana göre değer kavramı, faizler ve ekonomik denklikler, potansiyel fırsatlarının bugünkü değer, eşit yıllık değer, getiri oranı analizi gibi yöntemlerle değerlendirilmesi gibi konular araştırılır.",Dr. Atilla Kazançoğlu,ATILLA KAZANÇOĞLU,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/econ-3300-muhendislik-ekonomisine-giris/,ECON 3300,Mühendislik Ekonomisine Giriş,"Mühendislik ekonomisinin temel prensipleri, paranın zamana göre değer kavramı, faizler ve ekonomik denklikler, potansiyel fırsatlarının bugünkü değer, eşit yıllık değer, getiri oranı analizi gibi yöntemlerle değerlendirilmesi gibi konular araştırılır.",Dr. Nejat KUTUP,NEJAT KUTUP,3290508832415677230,https://ce.yasar.edu.tr/dersler/
